Epoch	Batch/Total 	Time 	NLL train	NLL val	LR
000 	00229/00230 	0.61 	-1.219134	-1.655870	5.00e-04
005 	00229/00230 	3.24 	-1.474561	-1.871781	5.00e-04
010 	00229/00230 	5.77 	-1.554732	-1.925343	5.00e-04
015 	00229/00230 	8.36 	-1.588964	-1.957699	5.00e-04
020 	00229/00230 	10.97 	-1.614832	-2.013013	5.00e-05
025 	00229/00230 	13.54 	-1.659560	-2.023158	5.00e-05
030 	00229/00230 	16.15 	-1.668804	-2.027626	5.00e-05
035 	00229/00230 	18.77 	-1.674358	-2.032085	5.00e-05
040 	00229/00230 	21.37 	-1.679367	-2.039855	5.00e-06
045 	00229/00230 	24.03 	-1.685913	-2.042196	5.00e-06
050 	00229/00230 	26.66 	-1.686931	-2.042116	5.00e-06
055 	00229/00230 	29.67 	-1.687657	-2.042157	5.00e-06
060 	00229/00230 	32.72 	-1.688279	-2.041899	5.00e-06
065 	00229/00230 	35.51 	-1.688920	-2.042888	5.00e-06
070 	00229/00230 	38.06 	-1.689343	-2.042557	5.00e-06
075 	00229/00230 	40.70 	-1.689810	-2.043185	5.00e-06
080 	00229/00230 	43.31 	-1.690364	-2.043033	5.00e-06
085 	00229/00230 	46.00 	-1.690818	-2.043488	5.00e-06
090 	00229/00230 	48.56 	-1.691215	-2.043849	5.00e-06
095 	00229/00230 	51.17 	-1.691687	-2.044115	5.00e-06
