Epoch	Batch/Total 	Time 	NLL train	NLL val	LR
000 	00229/00230 	0.25 	-1.205566	-1.663816	5.00e-04
001 	00229/00230 	0.50 	-1.408134	-1.742463	5.00e-04
002 	00229/00230 	0.75 	-1.451849	-1.792249	5.00e-04
003 	00229/00230 	0.99 	-1.480944	-1.825357	5.00e-04
004 	00229/00230 	1.24 	-1.502374	-1.856691	5.00e-04
005 	00229/00230 	1.51 	-1.519499	-1.866785	5.00e-04
006 	00229/00230 	1.77 	-1.533644	-1.879715	5.00e-04
007 	00229/00230 	2.03 	-1.544765	-1.893596	5.00e-04
008 	00229/00230 	2.29 	-1.554904	-1.903939	5.00e-04
009 	00229/00230 	2.55 	-1.563126	-1.911881	5.00e-04
010 	00229/00230 	2.83 	-1.570799	-1.917735	5.00e-04
011 	00229/00230 	3.09 	-1.577233	-1.933122	5.00e-04
012 	00229/00230 	3.37 	-1.583145	-1.937500	5.00e-04
013 	00229/00230 	3.61 	-1.588296	-1.940302	5.00e-04
014 	00229/00230 	3.86 	-1.593174	-1.948720	5.00e-04
015 	00229/00230 	4.16 	-1.597619	-1.953072	5.00e-04
016 	00229/00230 	4.41 	-1.601651	-1.956967	5.00e-04
017 	00229/00230 	4.66 	-1.605146	-1.962896	5.00e-04
018 	00229/00230 	4.90 	-1.608504	-1.964434	5.00e-04
019 	00229/00230 	5.15 	-1.611620	-1.972149	5.00e-04
020 	00229/00230 	5.40 	-1.643127	-2.011838	5.00e-05
021 	00229/00230 	5.65 	-1.652879	-2.015813	5.00e-05
022 	00229/00230 	5.89 	-1.656919	-2.017173	5.00e-05
023 	00229/00230 	6.14 	-1.659945	-2.021856	5.00e-05
024 	00229/00230 	6.44 	-1.662143	-2.021558	5.00e-05
025 	00229/00230 	6.69 	-1.664153	-2.025078	5.00e-05
026 	00229/00230 	6.93 	-1.665746	-2.025074	5.00e-05
027 	00229/00230 	7.18 	-1.667223	-2.028608	5.00e-05
028 	00229/00230 	7.43 	-1.668817	-2.028533	5.00e-05
029 	00229/00230 	7.69 	-1.669877	-2.028005	5.00e-05
030 	00229/00230 	7.94 	-1.670845	-2.029448	5.00e-05
031 	00229/00230 	8.19 	-1.671957	-2.031189	5.00e-05
032 	00229/00230 	8.48 	-1.673398	-2.032135	5.00e-05
033 	00229/00230 	8.72 	-1.674164	-2.031584	5.00e-05
034 	00229/00230 	8.97 	-1.675103	-2.034834	5.00e-05
035 	00229/00230 	9.22 	-1.675960	-2.034557	5.00e-05
036 	00229/00230 	9.46 	-1.676778	-2.035502	5.00e-05
037 	00229/00230 	9.71 	-1.677560	-2.036017	5.00e-05
038 	00229/00230 	9.96 	-1.678326	-2.035151	5.00e-05
039 	00229/00230 	10.26 	-1.679240	-2.037859	5.00e-05
040 	00229/00230 	10.51 	-1.683621	-2.042915	5.00e-06
041 	00229/00230 	10.76 	-1.684946	-2.043082	5.00e-06
042 	00229/00230 	11.00 	-1.685214	-2.043081	5.00e-06
043 	00229/00230 	11.26 	-1.685610	-2.043311	5.00e-06
044 	00229/00230 	11.51 	-1.685944	-2.042540	5.00e-06
045 	00229/00230 	11.75 	-1.686170	-2.043555	5.00e-06
046 	00229/00230 	12.00 	-1.686336	-2.043292	5.00e-06
047 	00229/00230 	12.25 	-1.686721	-2.043417	5.00e-06
048 	00229/00230 	12.50 	-1.686662	-2.043408	5.00e-06
049 	00229/00230 	12.76 	-1.686920	-2.044003	5.00e-06
050 	00229/00230 	13.01 	-1.687184	-2.043587	5.00e-06
051 	00229/00230 	13.26 	-1.687451	-2.043589	5.00e-06
052 	00229/00230 	13.51 	-1.687510	-2.044455	5.00e-06
053 	00229/00230 	13.76 	-1.687369	-2.043969	5.00e-06
054 	00229/00230 	14.00 	-1.687690	-2.044116	5.00e-06
055 	00229/00230 	14.25 	-1.687485	-2.043680	5.00e-06
056 	00229/00230 	14.50 	-1.687726	-2.043872	5.00e-06
057 	00229/00230 	14.75 	-1.687825	-2.043598	5.00e-06
058 	00229/00230 	14.99 	-1.688020	-2.044343	5.00e-06
059 	00229/00230 	15.25 	-1.688218	-2.044985	5.00e-06
060 	00229/00230 	15.50 	-1.688358	-2.044600	5.00e-06
061 	00229/00230 	15.75 	-1.688440	-2.044558	5.00e-06
062 	00229/00230 	16.00 	-1.688513	-2.044577	5.00e-06
063 	00229/00230 	16.24 	-1.688677	-2.044905	5.00e-06
064 	00229/00230 	16.49 	-1.688840	-2.045432	5.00e-06
065 	00229/00230 	16.78 	-1.688824	-2.045206	5.00e-06
066 	00229/00230 	17.04 	-1.688922	-2.044957	5.00e-06
067 	00229/00230 	17.29 	-1.688992	-2.045003	5.00e-06
068 	00229/00230 	17.54 	-1.688977	-2.044675	5.00e-06
069 	00229/00230 	17.79 	-1.689097	-2.044055	5.00e-06
070 	00229/00230 	18.04 	-1.689466	-2.044853	5.00e-06
071 	00229/00230 	18.29 	-1.689446	-2.046279	5.00e-06
072 	00229/00230 	18.53 	-1.689600	-2.045264	5.00e-06
073 	00229/00230 	18.79 	-1.689706	-2.044860	5.00e-06
074 	00229/00230 	19.07 	-1.689669	-2.045389	5.00e-06
075 	00229/00230 	19.33 	-1.689943	-2.045036	5.00e-06
076 	00229/00230 	19.58 	-1.689933	-2.045534	5.00e-06
077 	00229/00230 	19.86 	-1.689948	-2.046212	5.00e-06
078 	00229/00230 	20.12 	-1.690016	-2.045572	5.00e-06
079 	00229/00230 	20.36 	-1.690228	-2.045639	5.00e-06
080 	00229/00230 	20.61 	-1.690306	-2.045693	5.00e-06
081 	00229/00230 	20.86 	-1.690376	-2.045878	5.00e-06
082 	00229/00230 	21.11 	-1.690378	-2.045049	5.00e-06
083 	00229/00230 	21.35 	-1.690446	-2.045866	5.00e-06
084 	00229/00230 	21.60 	-1.690868	-2.046414	5.00e-06

088 	00229/00230 	22.64 	-1.691098	-2.045980	5.00e-06
089 	00229/00230 	22.89 	-1.690945	-2.046184	5.00e-06
090 	00229/00230 	23.14 	-1.690972	-2.045901	5.00e-06
091 	00229/00230 	23.43 	-1.691532	-2.046085	5.00e-06
092 	00229/00230 	23.68 	-1.691405	-2.046089	5.00e-06
093 	00229/00230 	23.92 	-1.691381	-2.046153	5.00e-06
094 	00229/00230 	24.17 	-1.691627	-2.046092	5.00e-06
095 	00229/00230 	24.42 	-1.691703	-2.046249	5.00e-06
096 	00229/00230 	24.67 	-1.691821	-2.046369	5.00e-06
097 	00229/00230 	24.92 	-1.691829	-2.046726	5.00e-06
098 	00229/00230 	25.17 	-1.691785	-2.045902	5.00e-06
099 	00229/00230 	25.42 	-1.691904	-2.046596	5.00e-06



[-1.663816,-1.742463,-1.792249,-1.825357,-1.856691,-1.866785,-1.879715,-1.893596,-1.903939,-1.911881,-1.917735,-1.933122,-1.937500,-1.940302,-1.948720,-1.953072,-1.956967,-1.962896,-1.964434,-1.972149,-2.011838,-2.015813,-2.017173,-2.021856,-2.021558,-2.025078,-2.025074,-2.028608,-2.028533,-2.028005,-2.029448,-2.031189,-2.032135,-2.031584,-2.034834,-2.034557,-2.035502,-2.036017,-2.035151,-2.037859,-2.042915,-2.043082,-2.043081,-2.043311,-2.042540,-2.043555,-2.043292,-2.043417,-2.043408,-2.044003,-2.043587,-2.043589,-2.044455,-2.043969,-2.044116,-2.043680,-2.043872,-2.043598,-2.044343,-2.044985,-2.044600,-2.044558,-2.044577,-2.044905,-2.045432,-2.045206,-2.044957,-2.045003,-2.044675,-2.044055,-2.044853,-2.046279,-2.045264,-2.044860,-2.045389,-2.045036,-2.045534,-2.046212,-2.045572,-2.045639,-2.045693,-2.045878,-2.045049,-2.045866,-2.046414,-2.045980]









































































